fsym_id	ticker
B14883-R	GSLBX-US
B149B4-R	MEAT-CA
B14CLB-R	AHT.PRD-US
B14GN9-R	KB-US
B14HQB-R	ECNDX-US
B14JSC-R	PGGMX-US
B14P1H-R	BOGLX-US
B14T9M-R	JOSMF-US
B150PT-R	SLBBX-US
B151WZ-R	HLEAX-US
B1560Z-R	DRE.PRJ-US
B15653-R	CPUBM-US
B157JF-R	ROK.WT-CA
B159C6-R	AEKBX-US
B15B93-R	EVMOX-US
B15CC4-R	FSLCX-US
B15CSK-R	WMMAAX-US
B15DF5-R	GIDEX-US
B15GK7-R	AMEH-US
B15JP9-R	BCKMF-US
B15MWD-R	SPGYF-US
B15NYF-R	GTII-US
B15Q0G-R	DLIAQ-US
B15T6K-R	VIGRX-US
B15VDQ-R	VDRM-US
B15Z4B-R	ALCSX-US
B160LR-R	YDWAF-US
B16GG5-R	DITTF-US
B16KXJ-R	GNL.PRB-US
B16PCW-R	GREMF-US
B16PXD-R	ISCB-US
B174RT-R	DRXGF-US
B175YZ-R	YCM.PRA-CA
B176WW-R	LOGL-US
B177YX-R	HIP-CA
B1790Y-R	QCLGX-US
B17BNJ-R	RBCUX-US
B17K0P-R	CRRGF-US
B17MTD-R	CETETRCISHRS-MX
B17ZBL-R	CSAB3-BR
B184NR-R	DNIA-US
B185QS-R	WAVE.XX1-US
B189ZX-R	PUPPX-US
B18HB2-R	ASRCX-US
B18LJ5-R	RSVEX-US
B18M2Q-R	FSSN-US
B18RVB-R	AZTA-US
B18W1F-R	ABBSX-US
B18X3G-R	RVRC-US
B18X7L-R	SLNLF-US
B18Y5H-R	RERBX-US
B1909K-R	EQPGX-US
B191CL-R	AP-US
B195MQ-R	PPEHF-US
B199WV-R	SUHJF-US
B19C30-R	ARDVX-US
B19D0X-R	GSON-US
B19F2Y-R	BELFA-US
B19F72-R	GRVLX-US
B19G4Z-R	CRLI-US
B19H70-R	FMBIX.XX1-US
B19LK7-R	TJLW4V.F-BM
B19PRB-R	VOHO-US
B19RR8-R	GAIMF-US
B19ST9-R	LLY-US
B19VYC-R	AJXGF-US
B19W2H-R	FIGFX-US
B19Y2F-R	SGSVF-US
B1B06H-R	FNMAP-US
B1B3FM-R	MFMHX-US
B1B6LP-R	KNEMX-US
B1B7NQ-R	SCZC-US
B1B8VW-R	PEMBX-US
B1BGLF-R	GYEN-US
B1BNL7-R	GEHDY-US
B1BPJ4-R	HIVCX-US
B1BRN6-R	RMSYF-US
B1BXZC-R	MDEVF-US
B1C27H-R	NEU-US
B1C3Z5-R	HIYYX-US
B1CB00-R	GNSMF-US
B1CBRR-R	JOMCX-US
B1CCTS-R	MLRTX-US
B1CF0Y-R	ZPS-CA
B1CMVK-R	NYCB.PRA-US
B1CV7R-R	THRLX-US
B1CVR7-R	PRTK-US
B1D16J-R	IMFSX-US
B1D4KS-R	GVCIW-US
B1D8NR-R	EPV-US
B1D9LN-R	IVDAX-US
B1D9WY-R	OPTCX-US
B1DC33-R	XEXP-CA
B1DCQQ-R	NAFG3-BR
B1DM5Y-R	YBLT-US
B1DND3-R	TSGI-CA
B1DTQ8-R	BQMGX-US
B1DXXC-R	VOO-MX
B1DZX9-R	CSVZX-US
B1FMSK-R	TBP.WT-CA
B1G7KR-R	ARHGS-US
B1GRD2-R	SPMXY-US
B1H23H-R	CATC10-US
B1H43F-R	SWP.UT.XX1-CA
B1H55G-R	FIO-US
B1JGNP-R	DNKLY-US
B1JWL6-R	GS4996164-US
B1JXXH-R	TDJIX-US
B1JYM5-R	KBSFW-US
B1KTNC-R	LILAB-US
B1L74G-R	UBS4972353-US
B1LP40-R	BRLIR-US
B1LS1V-R	TUNG-US
B1LTK9-R	PKRAX-US
B1LYK5-R	BNDX11-BR
B1M3M2-R	CQURX-US
B1MF9G-R	BIL-JM
B1MFBH-R	BRCIX-US
B1N84H-R	UBS5031626-US
B1PCJT-R	LIVPX-US
B1PGQX-R	DSTZF-US
B1PKMQ-R	UBS5040114-US
B1PLFH-R	SFI.UT-CA
B1PPJH-R	INN.PRB-US
B1PVB4-R	ZAIRIX-US
B1PVG8-R	RCSL2-BR
B1Q5T9-R	GENER.OSA-CL
B1QDW4-R	IVOP-US
B1QH8G-R	AMTR-US
B1QRPM-R	NRVTF-US
B1R19Z-R	RCHG-US
B1R2D0-R	SAEYY-US
B1RHFN-R	GIBLX-US
B1RXXQ-R	ACP.RT.XX3-US
B1SPLN-R	AAEEX-US
B1T25W-R	ASM1N-MX
B1TKHQ-R	WSCWW-US
B1V0C4-R	CERCZ-US
B1VFT5-R	CS5044064-US
B1VKDN-R	QIC.R-CA
B1VPDJ-R	PACXU-US
B1X01X-R	FIWEX-US
B1XWLL-R	JHTCX-US
B1YGL0-R	RMGBU-US
B1YKP0-R	HYOCX-US
B1YXVV-R	CFG.PRD-US
B1YYML-R	SHELN-MX
B1ZD6R-R	CVBWX-US
B1ZGM2-R	SBAQF-US
B1ZLR2-R	ADIV-US
